review_id,text,current_category,review_category,review_urgency,review_note
45,지도 표현와 관련해 학생이 상황을 부담스럽게 받아들였다고 말했습니다. 향후 소통 과정에서 학생이 위축되지 않도록 살펴봐 주시기 바랍니다,교사 태도/행동,교사 태도/행동,보통,
46,지도 표현와 관련해 안내 과정에서 오해가 생길 수 있는 표현이 있었다고 생각합니다. 관련 상황에 대해 학교의 설명을 듣고 싶습니다,교사 태도/행동,교사 태도/행동,보통,
47,친구 관계와 관련해 지도 공백이 생기지 않도록 확인이 필요합니다. 가정에서도 함께 지도할 수 있도록 안내를 요청드립니다,생활지도/안전,생활지도/안전,낮음,
48,운동장 이용와 관련해 학교 차원의 예방 안내가 필요해 보입니다. 관련 상황을 확인하고 필요한 생활지도를 부탁드립니다,생활지도/안전,생활지도/안전,낮음,
49,급수대 관리와 관련해 안전과 위생 측면에서 확인이 필요합니다. 학생들이 안전하게 이용할 수 있도록 확인해 주시기 바랍니다,시설/환경,시설/환경,높음,
50,저희 아이 반에서 특정 학생을 중심으로 한 따돌림 분위기가 있다는 것을 다른 학부모를 통해 전해 들었습니다. 아직 저희 아이가 직접 당한 것은 아니지만 학급 전체의 분위기가 우려스럽습니다. 학급 내 또래관계에 대한 점검과 인성 교육이 필요해 보입니다. 조속한 확인과 조치를 부탁드립니다.,생활지도/안전,생활지도/안전,높음,
51,급식 메뉴에 매운 음식이 자주 나와서 저학년 아이들이 잘 못 먹고 있다는 이야기를 여러 학부모에게서 들었습니다. 매운맛 정도를 조금 조절해 주시거나 순한 메뉴를 함께 병행해 주실 수 있을지 여쭤봅니다. 아이들마다 매운 음식에 대한 적응력이 다르다는 점도 함께 고려해 주시면 좋겠습니다. 식단 구성에 참고해 주시기 바랍니다.,급식,급식,낮음,
52,책걸상 상태와 관련해 점검이 필요한 상태로 보여 걱정됩니다. 학생들이 안전하게 이용할 수 있도록 확인해 주시기 바랍니다,시설/환경,시설/환경,높음,
53,쉬는 시간 지도와 관련해 지도 공백이 생기지 않도록 확인이 필요합니다. 관련 상황을 확인하고 필요한 생활지도를 부탁드립니다,생활지도/안전,생활지도/안전,보통,
54,상담 과정와 관련해 상황을 정확히 확인하고 싶은 부분이 있습니다. 사실관계를 확인한 뒤 필요한 안내를 부탁드립니다,교사 태도/행동,교사 태도/행동,보통,
55,전학 절차에 대해 행정실에 문의했는데 담당자마다 안내하는 내용이 조금씩 달라서 매우 혼란스러웠습니다. 행정 처리 과정에서 일관된 안내가 이루어졌으면 합니다. 전학과 관련된 절차를 명확히 정리하여 안내해 주시기 바랍니다. 학부모 입장에서는 정확한 정보가 무엇보다 중요한 것 같습니다.,기타,기타,낮음,
56,상담 일정와 관련해 학부모 입장에서 궁금한 부분이 남아 있습니다. 가정에서도 확인할 수 있도록 추가 공지를 부탁드립니다,기타,기타,낮음,
57,"급식 시간에 아이가 편식을 해서 콩나물을 조금 남겼는데, 급식 지도 선생님께서 이를 보시고는 다 먹을 때까지 자리에서 일어나지 못하게 강요하셨다고 합니다. 구역질을 하면서도 억지로 삼키는 아이를 윽박지르셨다니 부모로서 피가 거꾸로 솟는 심정입니다. 강압적인 식사 지도는 아이에게 트라우마만 남길 뿐이니 절대적으로 지양해 주시길 바랍니다.",교사 태도/행동,교사 태도/행동,보통,
58,사회 수업 시간에 담임 선생님께서 전화를 받으러 나가시거나 교무실에 서류를 갖다주신다며 자리를 비우시는 시간이 너무 잦다고 합니다. 심할 때는 20분 넘게 아이들끼리만 교실에 방치되어 자습을 했다고 하더군요. 학생들의 정당한 학습권을 침해하는 명백한 근무 태만 행위입니다. 수업 시간 이탈을 자제해 주시고 본연의 임무에 충실해 주십시오.,교사 태도/행동,교사 태도/행동,높음,
59,아이가 급식 시간에 좋아하지 않는 반찬을 강제로 한 숟갈씩 먹게 하는 규칙이 너무 부담스럽다고 말했습니다. 골고루 먹는 습관을 들이려는 취지는 충분히 이해하지만 아이마다 적응 속도가 다를 수 있을 것 같습니다. 조금 더 유연한 지도 방식을 고려해 주시면 좋겠습니다. 아이가 급식 시간을 즐겁게 느꼈으면 합니다.,급식,급식,보통,
60,수업 설명와 관련해 수업 후 복습 과정에서 기준을 확인하기 어려웠습니다. 관련 내용을 다시 안내해 주시기 바랍니다,수업/학습 문제,수업/학습 문제,보통,
61,등하교 안전와 관련해 지도 공백이 생기지 않도록 확인이 필요합니다. 재발 방지를 위한 조치와 확인 결과를 알려주시기 바랍니다,생활지도/안전,생활지도/안전,높음,
62,상담 과정와 관련해 가정에서 듣기에 표현의 의도가 충분히 전달되지 않은 것 같습니다. 학생이 안정적으로 생활할 수 있도록 지도 방식을 검토해 주시기 바랍니다,교사 태도/행동,교사 태도/행동,보통,
63,과제 안내와 관련해 가정에서 확인하기에 안내 내용이 다소 부족했습니다. 학생들이 이해할 수 있도록 보충 설명을 부탁드립니다,수업/학습 문제,수업/학습 문제,보통,
64,알레르기 표시와 관련해 여러 학생에게 영향을 줄 수 있는 사안으로 보입니다. 급식 운영 기준과 확인 결과를 안내해 주시기 바랍니다,급식,급식,높음,
65,알레르기 표시와 관련해 가정에서 확인하기에 안내가 조금 더 필요해 보입니다. 학생들이 안심하고 식사할 수 있도록 점검을 부탁드립니다,급식,급식,높음,
66,"사회 조별 과제에서 특정 아이 한두 명만 자료 조사와 발표 준비를 다 하고, 나머지 아이들은 참여하지 않았다고 합니다. 그런데 점수는 조원 모두가 동일하게 받아서 열심히 한 아이가 허탈해하고 있습니다. 선생님들 다 고소할겁니다. 조치 취하세요.",수업/학습 문제,수업/학습 문제,높음,
67,수업 진도와 관련해 공지된 내용과 실제 진행 방식이 달라 혼란이 있었습니다. 관련 내용을 다시 안내해 주시기 바랍니다,수업/학습 문제,수업/학습 문제,보통,
68,가정통신문와 관련해 안내된 절차에 대해 추가 설명이 필요합니다. 가정에서도 확인할 수 있도록 추가 공지를 부탁드립니다,기타,기타,낮음,
69,지도 표현와 관련해 가정에서 듣기에 표현의 의도가 충분히 전달되지 않은 것 같습니다. 학생이 안정적으로 생활할 수 있도록 지도 방식을 검토해 주시기 바랍니다,교사 태도/행동,교사 태도/행동,보통,
70,배식 과정와 관련해 최근 반복적으로 비슷한 이야기가 들리고 있습니다. 재발 방지를 위한 관리 방안을 검토해 주시기 바랍니다,급식,급식,보통,
71,급수대 관리와 관련해 여러 학생이 함께 사용하는 공간이라 관리가 필요합니다. 학생들이 안전하게 이용할 수 있도록 확인해 주시기 바랍니다,시설/환경,시설/환경,높음,
72,화장실 청결와 관련해 안전과 위생 측면에서 확인이 필요합니다. 시설 상태를 점검하고 필요한 조치를 부탁드립니다,시설/환경,시설/환경,높음,
73,학교 계단에서 아이들이 장난삼아 뛰어 내려가는 모습을 자주 목격한다는 이야기를 들었습니다. 계단에서의 안전사고가 충분히 우려되는 상황입니다. 쉬는 시간마다 계단 이용에 대한 지도를 강화해 주실 수 있을까요. 큰 사고가 발생하기 전에 예방 차원의 지도가 꼭 필요해 보입니다.,생활지도/안전,생활지도/안전,높음,
74,요즘 들어 급식 잔반이 유난히 많이 남는다는 이야기를 아이를 통해 자주 듣습니다. 아이들이 별로 좋아하지 않는 메뉴가 반복되는 것은 아닌지 궁금합니다. 학생 대상 설문조사를 통해 선호 메뉴를 식단에 반영해 주실 수 있을까요. 정기적인 식단 만족도 조사도 함께 해주시면 좋겠습니다.,급식,급식,보통,
75,책걸상 상태와 관련해 안전과 위생 측면에서 확인이 필요합니다. 시설 상태를 점검하고 필요한 조치를 부탁드립니다,시설/환경,시설/환경,높음,
76,학교 행사와 관련해 학부모 입장에서 궁금한 부분이 남아 있습니다. 혼란이 없도록 안내 내용을 보완해 주시기 바랍니다,기타,기타,낮음,
77,상담 과정와 관련해 안내 과정에서 오해가 생길 수 있는 표현이 있었다고 생각합니다. 향후 소통 과정에서 학생이 위축되지 않도록 살펴봐 주시기 바랍니다,교사 태도/행동,교사 태도/행동,보통,
78,피드백 방식와 관련해 안내 과정에서 오해가 생길 수 있는 표현이 있었다고 생각합니다. 관련 상황에 대해 학교의 설명을 듣고 싶습니다,교사 태도/행동,교사 태도/행동,보통,
79,상담 과정와 관련해 학생의 입장에서 설명이 조금 더 필요해 보였습니다. 사실관계를 확인한 뒤 필요한 안내를 부탁드립니다,교사 태도/행동,교사 태도/행동,보통,
80,체험학습 절차와 관련해 안내된 절차에 대해 추가 설명이 필요합니다. 관련 기준과 절차를 안내해 주시기 바랍니다,기타,기타,낮음,
81,식단 안내와 관련해 제공 방식에 대해 궁금한 부분이 있습니다. 필요한 경우 가정에도 관련 내용을 공유해 주시면 좋겠습니다,급식,급식,낮음,
82,배식 과정와 관련해 여러 학생에게 영향을 줄 수 있는 사안으로 보입니다. 급식 운영 기준과 확인 결과를 안내해 주시기 바랍니다,급식,급식,낮음,
83,과제 안내와 관련해 가정에서 확인하기에 안내 내용이 다소 부족했습니다. 관련 내용을 다시 안내해 주시기 바랍니다,수업/학습 문제,수업/학습 문제,보통,
84,화장실 청결와 관련해 학생들이 이용하기에 불편함이 있다는 이야기를 들었습니다. 조치 예정 시점을 안내해 주시면 감사하겠습니다,시설/환경,시설/환경,보통,
85,학급 안내와 관련해 상황을 정확히 확인하고 싶은 부분이 있습니다. 사실관계를 확인한 뒤 필요한 안내를 부탁드립니다,교사 태도/행동,교사 태도/행동,보통,
86,창문 안전와 관련해 학생들이 이용하기에 불편함이 있다는 이야기를 들었습니다. 학생들이 안전하게 이용할 수 있도록 확인해 주시기 바랍니다,시설/환경,시설/환경,높음,
87,화장실 청결와 관련해 최근 상태가 나빠졌다는 이야기가 있었습니다. 학생들이 안전하게 이용할 수 있도록 확인해 주시기 바랍니다,시설/환경,시설/환경,높음,
88,피드백 방식와 관련해 안내 과정에서 오해가 생길 수 있는 표현이 있었다고 생각합니다. 사실관계를 확인한 뒤 필요한 안내를 부탁드립니다,교사 태도/행동,교사 태도/행동,보통,
89,질문 응답와 관련해 학습 계획을 세우기 위해 추가 설명이 필요합니다. 학생들이 이해할 수 있도록 보충 설명을 부탁드립니다,수업/학습 문제,수업/학습 문제,보통,
90,과제 안내와 관련해 학생이 내용을 충분히 이해하기 어려웠다고 이야기했습니다. 가정에서도 확인할 수 있는 기준을 공유해 주시면 좋겠습니다,수업/학습 문제,수업/학습 문제,보통,
91,배식 과정와 관련해 학생 건강과 관련될 수 있어 확인을 요청드립니다. 필요한 경우 가정에도 관련 내용을 공유해 주시면 좋겠습니다,급식,급식,높음,
92,"음악실 방음벽이 너무 얇은지, 옆 반에서 단소나 리코더를 부는 소리가 그대로 들려와 수업에 전혀 집중할 수가 없다고 합니다. 심지어 바로 위층이 고학년 교실이라 층간 소음 민원도 잦다고 들었습니다. 쾌적한 음악 수업과 타 학급의 학습권 보장을 위해 음악실 벽면에 방음재를 보강하는 공사를 방학 기간을 이용해 꼭 진행해 주셨으면 좋겠습니다.",시설/환경,시설/환경,보통,
93,지도 표현와 관련해 학생의 입장에서 설명이 조금 더 필요해 보였습니다. 관련 상황에 대해 학교의 설명을 듣고 싶습니다,교사 태도/행동,교사 태도/행동,보통,
94,쉬는 시간 지도와 관련해 학생이 불안함을 느낀 상황이 있었다고 말했습니다. 학생 안전을 위해 지도 계획을 점검해 주시기 바랍니다,생활지도/안전,생활지도/안전,높음,
95,수업 진도와 관련해 학생이 내용을 충분히 이해하기 어려웠다고 이야기했습니다. 학생들이 이해할 수 있도록 보충 설명을 부탁드립니다,수업/학습 문제,수업/학습 문제,보통,
96,수업 설명와 관련해 학습 계획을 세우기 위해 추가 설명이 필요합니다. 관련 내용을 다시 안내해 주시기 바랍니다,수업/학습 문제,수업/학습 문제,보통,
97,배식 과정와 관련해 최근 반복적으로 비슷한 이야기가 들리고 있습니다. 급식 운영 기준과 확인 결과를 안내해 주시기 바랍니다,급식,급식,보통,
98,자전거로 등하교하는 학생들이 많은데 자전거 보관소에 비가림막이 설치되어 있지 않아 비나 눈이 오는 날이면 안장과 체인이 다 젖어 녹슬고 고장 나기 일쑤입니다. 자전거 이용을 권장하면서 정작 보관 시설은 이토록 열악하다니 아쉽습니다. 비바람을 막을 수 있는 지붕 형태의 튼튼한 비가림막 구조물을 조속히 설치해 주시기를 정중하게 건의드립니다.,시설/환경,시설/환경,높음,
99,가정통신문와 관련해 가정에서 확인해야 할 내용이 명확하지 않았습니다. 가정에서도 확인할 수 있도록 추가 공지를 부탁드립니다,기타,기타,낮음,
100,피드백 방식와 관련해 학생의 입장에서 설명이 조금 더 필요해 보였습니다. 사실관계를 확인한 뒤 필요한 안내를 부탁드립니다,교사 태도/행동,교사 태도/행동,보통,
101,운동장 이용와 관련해 지도 공백이 생기지 않도록 확인이 필요합니다. 학생 안전을 위해 지도 계획을 점검해 주시기 바랍니다,생활지도/안전,생활지도/안전,높음,
102,지도 표현와 관련해 가정에서 듣기에 표현의 의도가 충분히 전달되지 않은 것 같습니다. 사실관계를 확인한 뒤 필요한 안내를 부탁드립니다,교사 태도/행동,교사 태도/행동,보통,
103,이번 학기 창의적 체험활동 계획표를 보니 대부분 교실에서 종이접기나 영화 시청으로 대체되어 있습니다. 예전처럼 외부 강사를 초빙하거나 야외 생태 체험 등을 기대했는데 너무 부실하게 운영되는 것 같아 실망스럽습니다. 남은 학기 동안이라도 아이들이 다양한 경험을 할 수 있도록 보다 내실 있는 체험 프로그램을 기획해 주세요.,수업/학습 문제,수업/학습 문제,보통,
104,식단 안내와 관련해 학생 건강과 관련될 수 있어 확인을 요청드립니다. 재발 방지를 위한 관리 방안을 검토해 주시기 바랍니다,급식,급식,높음,
105,체험학습 절차와 관련해 공지 내용만으로는 판단하기 어려운 점이 있습니다. 가정에서도 확인할 수 있도록 추가 공지를 부탁드립니다,기타,기타,낮음,
106,등하교 안전와 관련해 학교 차원의 예방 안내가 필요해 보입니다. 관련 상황을 확인하고 필요한 생활지도를 부탁드립니다,생활지도/안전,생활지도/안전,높음,
107,화장실 청결와 관련해 여러 학생이 함께 사용하는 공간이라 관리가 필요합니다. 불편이 계속되지 않도록 관리 계획을 검토해 주시기 바랍니다,시설/환경,시설/환경,보통,
108,과제 안내와 관련해 학습 계획을 세우기 위해 추가 설명이 필요합니다. 가정에서도 확인할 수 있는 기준을 공유해 주시면 좋겠습니다,수업/학습 문제,수업/학습 문제,보통,
109,저희 아이 반에서 식중독이 의심되는 증세를 보인 아이가 최근 두 명이나 있었다고 들었습니다. 같은 반 학부모로서 매우 불안한 마음이 큽니다. 정확한 원인 파악과 함께 학부모들에게도 상황을 공지해 주셨으면 합니다. 급식 위생 점검 결과를 알려주시면 한결 안심이 될 것 같습니다.,급식,급식,높음,
110,"수학 선생님께서 수업 중에 남학생들에게는 '너희는 이과 가야지', 여학생들에게는 '여자는 꼼꼼하니까 문과가 어울린다'는 식의 성차별적이고 고정관념에 박힌 발언을 자주 하신다고 합니다. 다양한 가능성을 열어두고 꿈을 키워가야 할 아이들에게 성별을 이유로 한계를 짓는 발언은 매우 부적절합니다. 교사로서 성인지 감수성을 높여 주시기 바랍니다.",교사 태도/행동,교사 태도/행동,보통,
111,교실 냉난방와 관련해 여러 학생이 함께 사용하는 공간이라 관리가 필요합니다. 불편이 계속되지 않도록 관리 계획을 검토해 주시기 바랍니다,시설/환경,시설/환경,보통,
112,체험학습 절차와 관련해 안내된 절차에 대해 추가 설명이 필요합니다. 가정에서도 확인할 수 있도록 추가 공지를 부탁드립니다,기타,기타,낮음,
113,학급 안내와 관련해 상황을 정확히 확인하고 싶은 부분이 있습니다. 향후 소통 과정에서 학생이 위축되지 않도록 살펴봐 주시기 바랍니다,교사 태도/행동,교사 태도/행동,보통,
114,친구 관계와 관련해 안전사고로 이어질 가능성이 있어 걱정됩니다. 재발 방지를 위한 조치와 확인 결과를 알려주시기 바랍니다,생활지도/안전,생활지도/안전,높음,
115,통학로 상황와 관련해 학생들 사이의 관계를 조금 더 살펴볼 필요가 있어 보입니다. 재발 방지를 위한 조치와 확인 결과를 알려주시기 바랍니다,생활지도/안전,생활지도/안전,보통,
116,교실 냉난방와 관련해 최근 상태가 나빠졌다는 이야기가 있었습니다. 시설 상태를 점검하고 필요한 조치를 부탁드립니다,시설/환경,시설/환경,보통,
117,"현관 입구에 있는 실내화 주머니 보관함 개수가 학생 수보다 현저히 적어서, 아이들이 그냥 바닥에 실내화 주머니를 널브러뜨리고 교실로 올라갑니다. 비 오는 날이면 신발장에 진흙이 범벅되어 현관이 엉망진창이고 냄새도 심합니다. 여유 있는 공간에 수납장을 넉넉히 추가 설치해 주시고 반별로 구역을 지정하여 아이들이 깔끔하게 정리하는 습관을 들이도록 지도해 주세요.",시설/환경,시설/환경,보통,
118,학교 운동장에서 미세먼지가 심한 날에도 야외 체육 수업을 그대로 진행하는 경우가 있다고 합니다. 대기질 기준에 따른 실내 대체 수업 운영이 필요해 보입니다. 아이들의 호흡기 건강을 고려한 기준 마련을 부탁드립니다. 미세먼지 농도에 따른 명확한 운영 지침을 안내해 주시면 좋겠습니다.,기타,기타,높음,
119,급식 시간에 짝꿍 친구가 음식을 던지거나 장난을 쳐서 식사 분위기가 매우 어수선하다고 아이가 말했습니다. 식사 예절에 대한 지도가 좀 더 필요해 보입니다. 안전하고 차분한 분위기에서 식사할 수 있도록 배식 시간 지도를 부탁드립니다. 다른 아이들도 함께 불편함을 느끼고 있는 것 같습니다.,급식,급식,높음,
120,쉬는 시간 지도와 관련해 안전사고로 이어질 가능성이 있어 걱정됩니다. 학생 안전을 위해 지도 계획을 점검해 주시기 바랍니다,생활지도/안전,생활지도/안전,높음,
121,학급 안내와 관련해 학생이 상황을 부담스럽게 받아들였다고 말했습니다. 향후 소통 과정에서 학생이 위축되지 않도록 살펴봐 주시기 바랍니다,교사 태도/행동,교사 태도/행동,보통,
122,음식 위생와 관련해 제공 방식에 대해 궁금한 부분이 있습니다. 급식 운영 기준과 확인 결과를 안내해 주시기 바랍니다,급식,급식,낮음,
123,음식 위생와 관련해 제공 방식에 대해 궁금한 부분이 있습니다. 필요한 경우 가정에도 관련 내용을 공유해 주시면 좋겠습니다,급식,급식,낮음,
